#peak_xpix[arcmin] peak_ypix cluster_xpix cluster_ypix SN coresize[arcmin] M500c redshift nmatch
563.195801 229.182129 562.830051 229.440111 5.692708 0.750000 1.43735e+14 0.420997 1
670.407715 310.876465 669.976319 310.831554 6.581604 0.750000 2.03731e+14 1.150552 1
145.964355 492.165527 146.875556 492.779031 4.653689 1.000000 1.37338e+14 1.298935 1
317.351074 121.589355 317.211181 121.980304 5.840776 1.000000 2.31206e+14 0.568968 1
668.312988 596.711426 667.954538 596.889535 5.256680 1.000000 1.79979e+14 0.426515 1
80.075684 660.124512 80.226898 659.885452 4.823326 1.250000 1.78071e+14 1.033544 1
310.686035 464.934082 311.099880 465.616300 31.611309 1.250000 8.58057e+14 0.273823 1
481.691895 585.476074 481.589938 584.790974 4.948932 1.250000 1.55536e+14 1.159807 1
496.354980 625.466309 496.327271 624.995302 9.697396 1.250000 3.5077e+14 0.396529 1
498.068848 4.665527 497.860751 4.912440 4.931737 1.250000 1.37582e+14 0.615998 1
650.412598 666.027832 650.305481 666.164471 7.150468 1.250000 3.02948e+14 0.402344 1
30.563965 35.895996 30.993300 36.111659 10.902338 1.500000 4.55759e+14 0.296365 1
105.212402 68.649902 105.296099 69.227340 6.531924 1.500000 3.14947e+14 0.477414 1
223.278809 585.095215 223.394340 584.979730 5.142108 1.500000 7.77301e+13 0.960941 1
355.056152 610.993652 355.158969 610.764170 5.034651 1.500000 1.80006e+14 0.419924 1
556.911621 27.707520 556.635321 28.854541 4.606801 1.500000 1.27381e+14 0.756131 1
757.053223 657.839355 758.055489 657.391037 4.621636 1.500000 6.91453e+13 0.504853 1
757.053223 657.839355 756.431537 657.426882 4.621636 1.500000 2.21539e+14 1.024486 2
757.053223 657.839355 757.760639 658.691268 4.621636 1.500000 7.2012e+13 1.092696 3
134.729004 643.937988 134.739534 643.108438 4.906507 1.750000 2.07964e+14 0.335839 1
592.521973 202.712402 592.583946 204.012889 4.864544 1.750000 1.10632e+14 0.298239 1
633.845215 527.966309 632.891997 528.594318 4.899165 1.750000 1.62374e+14 0.336223 1
125.017090 36.086426 124.974724 37.078080 4.786595 2.000000 1.42841e+14 0.608369 1
244.797363 150.534668 245.306888 149.875440 4.967727 2.000000 1.84499e+14 0.415799 1
591.569824 532.536621 591.606599 532.470138 10.029600 2.000000 4.98691e+14 0.271272 1
136.442871 363.244629 136.359605 363.274848 6.956180 2.250000 2.27014e+14 0.203675 1
364.958496 518.825684 365.479923 518.821685 10.804864 2.250000 4.25843e+14 0.554796 1
770.764160 295.261230 770.332671 295.121570 5.087059 2.250000 1.44621e+14 1.194228 1
202.141113 335.822754 202.183793 336.530217 5.484442 2.500000 1.74339e+14 1.067942 1
7.902832 106.926270 7.818720 108.718742 4.838960 3.000000 7.94198e+13 0.284864 1
7.902832 106.926270 9.171240 106.299179 4.838960 3.000000 1.27928e+14 0.379807 2
153.200684 527.966309 152.493895 528.091185 4.795872 3.000000 1.71396e+14 0.483325 1
402.663574 681.643066 402.862186 680.395557 4.823802 3.000000 1.15664e+14 0.592685 1
402.663574 681.643066 403.882445 681.015662 4.823802 3.000000 1.31335e+14 1.570803 2
507.971191 610.422363 507.945342 610.027091 4.704187 3.000000 1.14667e+14 0.541426 1
518.063965 428.752441 518.550221 428.934503 4.700631 3.000000 2.66798e+14 0.338114 1
